action_type,action_id,xmlid,name,res_model,view_mode,binding_type,has_groups,groups
act_window,4,base.action_decimal_precision_form,Decimal Accuracy,decimal.precision,"tree,form",action,0,
act_window,5,base.ir_sequence_actions,Actions,ir.actions.actions,"tree,form",action,0,
act_window,6,base.ir_action_report,Reports,ir.actions.report,"tree,form",action,0,
act_window,7,base.ir_action_window,Window Actions,ir.actions.act_window,"tree,form",action,0,
act_window,8,base.ir_client_actions_report,Client Actions,ir.actions.client,"tree,form",action,0,
act_window,9,base.action_server_action,Server Actions,ir.actions.server,"tree,form",action,0,
act_window,10,base.act_ir_actions_todo_form,Configuration Wizards,ir.actions.todo,"tree,form",action,0,
act_window,12,base.action_asset,Assets,ir.asset,"tree,form",action,0,
act_window,13,base.ir_config_list_action,System Parameters,ir.config_parameter,"tree,form",action,0,
act_window,14,base.ir_cron_act,Scheduled Actions,ir.cron,"tree,form,calendar",action,0,
act_window,15,base.ir_cron_trigger_action,Scheduled Actions Triggers,ir.cron.trigger,"tree,form",action,0,
act_window,16,base.actions_ir_filters_view,User-defined Filters,ir.filters,"tree,form",action,0,
act_window,19,base.action_model_model,Models,ir.model,"tree,form",action,0,
act_window,20,base.action_model_fields,Fields,ir.model.fields,"tree,form",action,0,
act_window,21,base.action_model_fields_selection,Fields Selection,ir.model.fields.selection,"tree,form",action,0,
act_window,25,base.ir_access_act,Access Rights,ir.model.access,"tree,form",action,0,
act_window,26,base.action_attachment,Attachments,ir.attachment,"kanban,tree,form",action,0,
act_window,27,base.action_rule,Record Rules,ir.rule,"tree,form",action,0,
act_window,28,base.ir_sequence_form,Sequences,ir.sequence,"tree,form",action,0,
act_window,29,base.grant_menu_access,Menu Items,ir.ui.menu,"tree,form",action,0,
act_window,30,base.action_ui_view,Views,ir.ui.view,"tree,form",action,0,
act_window,32,base.action_ui_view_custom,Customized Views,ir.ui.view.custom,"tree,form",action,0,
act_window,33,base.ir_default_menu_action,User-defined Defaults,ir.default,"tree,form",action,0,
act_window,37,base.ir_logging_all_act,Logging,ir.logging,"tree,form",action,0,
act_window,38,base.open_module_tree,Apps,ir.module.module,"kanban,tree,form",action,0,
act_window,44,base.action_view_base_import_language,Import Translation,base.language.import,form,action,0,
act_window,47,base.action_wizard_lang_export,Export Translation,base.language.export,form,action,0,
act_window,51,base.action_menu_ir_profile,Ir profile,ir.profile,"tree,form",action,0,
act_window,52,base.action_res_company_form,Companies,res.company,"tree,kanban,form",action,0,
act_window,53,base.res_lang_act_window,Languages,res.lang,"tree,form",action,0,
act_window,66,base.action_currency_form,Currencies,res.currency,"tree,kanban,form",action,0,
act_window,69,base.action_res_users,Users,res.users,"tree,kanban,form",action,0,
act_window,73,base.ir_property_form,Company Properties,ir.property,"tree,form",action,0,
act_window,84,base_setup.action_general_configuration,Settings,res.config.settings,form,action,1,smart_construction_core.group_sc_super_admin
act_window,85,web_tour.edit_tour_action,Tours,web_tour.tour,"tree,form",action,0,
act_window,86,iap.iap_account_action,IAP Account,iap.account,"tree,form",action,0,
act_window,88,uom.product_uom_categ_form_action,Units of Measure Categories,uom.category,"tree,form",action,0,
act_window,90,onboarding.action_view_onboarding_onboarding,Onboardings,onboarding.onboarding,"tree,form",action,0,
act_window,91,onboarding.action_view_onboarding_step,Onboarding Steps,onboarding.onboarding.step,"tree,form",action,0,
act_window,92,resource.action_resource_resource_tree,Resources,resource.resource,"tree,form",action,0,
act_window,94,resource.action_resource_calendar_leave_tree,Resource Time Off,resource.calendar.leaves,"tree,form,calendar",action,0,
act_window,98,resource.action_resource_calendar_form,Working Schedules,resource.calendar,"tree,form",action,0,
act_window,105,mail.action_view_message_subtype,Subtypes,mail.message.subtype,"tree,form",action,0,
act_window,106,mail.action_view_mail_tracking_value,Tracking Values,mail.tracking.value,"tree,form",action,0,
act_window,108,mail.action_view_mail_message,Messages,mail.message,"tree,form",action,0,
act_window,109,mail.mail_message_schedule_action,Scheduled Messages,mail.message.schedule,"tree,form",action,0,
act_window,110,mail.action_view_mail_mail,Emails,mail.mail,"tree,form",action,0,
act_window,113,mail.action_ice_servers,ICE servers,mail.ice.server,"tree,form",action,0,
act_window,115,mail.discuss_channel_rtc_session_action,RTC sessions,discuss.channel.rtc.session,"tree,form",action,0,
act_window,116,mail.mail_link_preview_action,Link Previews,mail.link.preview,"tree,form",action,0,
act_window,117,mail.discuss_gif_favorite_action,GIF favorite,discuss.gif.favorite,"tree,form",action,0,
act_window,121,mail.mail_activity_type_action,Activity Types,mail.activity.type,"tree,form",action,0,
act_window,122,mail.mail_activity_action,Activities,mail.activity,"tree,form",action,0,
act_window,124,mail.mail_activity_plan_action,Activity Plans,mail.activity.plan,"tree,form",action,0,
act_window,135,mail.mail_guest_action,Guests,mail.guest,"tree,form",action,0,
act_window,136,mail.mail_message_reaction_action,Message Reactions,mail.message.reaction,"tree,form",action,0,
act_window,137,mail.res_users_settings_action,User Settings,res.users.settings,"tree,form",action,0,
act_window,138,mail.action_email_template_tree_all,Email Templates,mail.template,"form,tree",action,0,
act_window,140,mail.mail_blacklist_action,Blacklisted Email Addresses,mail.blacklist,"tree,form",action,0,
act_window,153,base_tier_validation.tier_definition_action,Tier Definition,tier.definition,"tree,form",action,0,
act_window,154,base_tier_validation.tier_validation_exception_action,Tier Validation Exception,tier.validation.exception,"tree,form",action,0,
act_window,155,phone_validation.phone_blacklist_action,Blacklisted Phone Numbers,phone.blacklist,"tree,form",action,0,
act_window,160,privacy_lookup.privacy_log_action,Privacy Logs,privacy.log,"tree,form",action,0,
act_window,172,product.product_category_action_form,Product Categories,product.category,"tree,form",action,0,
act_window,176,product.product_supplierinfo_type_action,Vendor Pricelists,product.supplierinfo,"tree,form,kanban",action,0,
act_window,186,rating.rating_rating_action,Ratings,rating.rating,"kanban,tree,graph,pivot,form",action,0,
act_window,199,sms.sms_sms_action,SMS,sms.sms,"tree,form",action,0,
act_window,201,sms.sms_template_action,Templates,sms.template,"tree,form",action,0,
act_window,203,snailmail.action_mail_letters,Snailmail Letters,snailmail.letter,"form,tree",action,0,
act_window,207,digest.digest_digest_action,Digest Emails,digest.digest,"tree,form",action,1,smart_construction_core.group_sc_super_admin
act_window,208,digest.digest_tip_action,Digest Tips,digest.tip,"tree,form",action,1,smart_construction_core.group_sc_super_admin
act_window,210,payment.action_payment_provider,Payment Providers,payment.provider,"kanban,tree,form",action,0,
act_window,211,payment.action_payment_method,Payment Methods,payment.method,"tree,kanban,form",action,0,
act_window,224,account.action_account_payments,Customer Payments,account.payment,"tree,kanban,form,graph,activity",action,0,
act_window,225,account.action_account_payments_payable,Vendor Payments,account.payment,"tree,kanban,form,graph,activity",action,0,
act_window,248,account.action_move_out_invoice_type,Invoices,account.move,"tree,kanban,form,activity",action,0,
act_window,249,account.action_move_out_refund_type,Credit Notes,account.move,"tree,kanban,form,activity",action,0,
act_window,250,account.action_move_in_invoice_type,Bills,account.move,"tree,kanban,form,activity",action,0,
act_window,251,account.action_move_in_refund_type,Refunds,account.move,"tree,kanban,form,activity",action,0,
act_window,260,account.action_account_journal_form,Journals,account.journal,"tree,kanban,form",action,1,smart_construction_core.group_sc_cap_finance_manager
act_window,261,account.action_account_journal_group_list,Journal Groups,account.journal.group,"tree,form",action,1,smart_construction_core.group_sc_cap_finance_manager
act_window,265,account.action_tax_form,Taxes,account.tax,"tree,kanban,form",action,0,
act_window,267,account.action_payment_term_form,Payment Terms,account.payment.term,"tree,kanban,form",action,0,
act_window,269,account.action_account_supplier_accounts,Bank Accounts,res.partner.bank,"tree,form",action,0,
act_window,271,account.product_product_action_sellable,Products,product.template,"kanban,tree,form,activity",action,0,
act_window,272,account.product_product_action_purchasable,Products,product.template,"kanban,tree,form,activity",action,0,
act_window,275,account.action_account_invoice_report_all,Invoices Analysis,account.invoice.report,"graph,pivot",action,0,
act_window,278,account.action_account_config,Settings,res.config.settings,form,action,1,smart_construction_core.group_sc_super_admin
act_window,280,account.action_account_fiscal_position_form,Fiscal Positions,account.fiscal.position,"tree,kanban,form",action,0,
act_window,281,account.res_partner_action_customer,Customers,res.partner,"kanban,tree,form",action,0,
act_window,282,account.res_partner_action_supplier,Vendors,res.partner,"kanban,tree,form",action,0,
act_window,286,account.action_incoterms_tree,Incoterms,account.incoterms,"tree,form",action,1,smart_construction_core.group_sc_cap_finance_manager
act_window,295,project.project_share_wizard_action,Share Project,project.share.wizard,form,action,1,smart_construction_core.group_sc_super_admin;base.group_system
act_window,300,project.action_send_mail_project_project,Send Email,mail.compose.message,form,action,1,smart_construction_core.group_sc_super_admin;base.group_system
act_window,302,project.open_view_project_all,Projects,project.project,"kanban,tree,form",action,1,smart_construction_core.group_sc_cap_project_read
act_window,304,project.open_view_project_all_config,Projects,project.project,"tree,kanban,form",action,0,
act_window,312,project.action_view_all_task,All Tasks,project.task,"tree,kanban,form,calendar,pivot,graph,activity",action,0,
act_window,320,project.project_tags_action,Tags,project.tags,"tree,form",action,0,
act_window,321,project.project_config_settings_action,Settings,res.config.settings,form,action,1,smart_construction_core.group_sc_super_admin
act_window,322,project.mail_activity_plan_action_config_project_task_plan,Activity Plans,mail.activity.plan,"tree,form",action,0,
act_window,324,project.mail_activity_type_action_config_project_types,Activity Types,mail.activity.type,"tree,form",action,0,
act_window,327,project.action_project_task_user_tree,Tasks Analysis,report.project.task.user,"graph,pivot",action,0,
act_window,330,spreadsheet_dashboard.spreadsheet_dashboard_action_configuration_dashboards,Dashboards,spreadsheet.dashboard.group,"tree,form",action,0,
act_window,367,stock.action_stock_scrap,Scrap Orders,stock.scrap,"tree,form,kanban,pivot,graph",action,0,
act_window,375,stock.action_warehouse_form,Warehouses,stock.warehouse,"tree,form",action,0,
act_window,377,stock.stock_move_line_action,Moves History,stock.move.line,"tree,kanban,pivot,form",action,0,
act_window,379,stock.action_picking_tree_incoming,Receipts,stock.picking,"tree,kanban,form,calendar,activity",action,1,stock.group_stock_user
act_window,380,stock.action_picking_tree_outgoing,Deliveries,stock.picking,"tree,kanban,form,calendar,activity",action,1,stock.group_stock_user
act_window,395,stock.action_picking_type_list,Operations Types,stock.picking.type,"tree,form",action,0,
act_window,396,stock.stock_picking_type_action,Inventory Overview,stock.picking.type,"kanban,form",action,0,
act_window,397,stock.stock_move_action,Move Analysis,stock.move,"tree,form",action,0,
act_window,399,stock.action_product_stock_view,Stock,product.product,"tree,form",action,0,
act_window,400,stock.product_template_action_product,Products,product.template,"kanban,tree,form",action,0,
act_window,408,stock.action_orderpoint,Reordering Rules,stock.warehouse.orderpoint,"tree,kanban,form",action,0,
act_window,412,stock.action_stock_config_settings,Settings,res.config.settings,form,action,1,smart_construction_core.group_sc_super_admin
act_window,418,project_sms.project_project_act_window_sms_composer,Send SMS Text Message,sms.composer,form,action,1,smart_construction_core.group_sc_super_admin;base.group_system
act_window,427,purchase.product_normal_action_puchased,Products,product.template,"kanban,tree,form,activity",action,0,
act_window,429,purchase.purchase_rfq,Requests for Quotation,purchase.order,"tree,kanban,form,pivot,graph,calendar,activity",action,0,
act_window,430,purchase.purchase_form_action,Purchase Orders,purchase.order,"tree,kanban,form,pivot,graph,calendar,activity",action,0,
act_window,436,purchase.action_purchase_configuration,Settings,res.config.settings,form,action,1,smart_construction_core.group_sc_super_admin
act_window,439,purchase.action_purchase_order_report_all,Purchase Analysis,purchase.report,"graph,pivot",action,1,purchase.group_purchase_user
act_window,440,stock_account.stock_valuation_layer_action,Stock Valuation,stock.valuation.layer,"tree,form,pivot",action,0,
act_window,442,stock_account.inventory_aging_action,Inventory Aging,stock.valuation.layer,"pivot,tree,graph",action,0,
